equipment_id,equipment_type,facility_id,facility,county,failure_timestamp,failure_mode,risk_score,scenario_rationale,severity,downtime_hours,estimated_repair_cost
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-27 02:00:00,E-CRITICAL,0.6946,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-27 10:00:00,E-CRITICAL,0.8136,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-28 12:00:00,E-CRITICAL,0.7658,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-28 14:00:00,E-CRITICAL,0.7735,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-28 20:00:00,E-CRITICAL,0.8175,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-29 03:00:00,E-CRITICAL,0.8574,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-29 23:00:00,E-CRITICAL,0.8291,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-30 09:00:00,E-CRITICAL,0.7826,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-30 15:00:00,E-CRITICAL,0.9891,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-31 00:00:00,E-CRITICAL,0.8369,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-31 01:00:00,E-CRITICAL,0.9018,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00012,Ultrasound,24541.0,Oasis Health Sirare Medical Centre,Migori,2026-03-31 21:00:00,E-CRITICAL,0.7628,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00018,Hemodialysis,11411.0,Hola District Hospital,Tana River,2026-03-24 03:00:00,E-CRITICAL,0.9982,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00018,Hemodialysis,11411.0,Hola District Hospital,Tana River,2026-03-24 06:00:00,E-CRITICAL,1.0,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00018,Hemodialysis,11411.0,Hola District Hospital,Tana River,2026-03-24 10:00:00,E-CRITICAL,0.8929,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00018,Hemodialysis,11411.0,Hola District Hospital,Tana River,2026-03-24 13:00:00,E-CRITICAL,0.8688,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00018,Hemodialysis,11411.0,Hola District Hospital,Tana River,2026-03-25 00:00:00,E-CRITICAL,1.0,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
ME-00018,Hemodialysis,11411.0,Hola District Hospital,Tana River,2026-03-25 05:00:00,E-CRITICAL,1.0,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",Critical,0.0,0.0
